chunkSize,rank,calcTime,commTime
10,1,31.298831,1.596414
10,2,31.303352,1.591943
10,3,31.303586,1.591829
10,4,31.302441,1.592909
10,5,31.306876,1.588615
10,6,31.301002,1.594310
10,7,31.302523,1.592851
10,8,31.299776,1.595536
10,9,31.306431,1.588794
30,1,31.277548,0.322578
30,2,31.280027,0.320112
30,3,31.273017,0.326990
30,4,31.278422,0.321717
30,5,31.281301,0.318807
30,6,31.276159,0.323885
30,7,31.276129,0.323947
30,8,31.276282,0.323662
30,9,31.281185,0.319007
100,1,31.265228,0.103013
100,2,31.267777,0.100485
100,3,31.270002,0.098271
100,4,31.268467,0.099825
100,5,31.268965,0.099292
100,6,31.266630,0.101617
100,7,31.267749,0.100546
100,8,31.269309,0.099018
100,9,31.268822,0.099451
300,1,31.265061,0.053802
300,2,31.263743,0.055125
300,3,31.263383,0.055453
300,4,31.264409,0.054460
300,5,31.263896,0.054972
300,6,31.264256,0.054620
300,7,31.264497,0.054350
300,8,31.263772,0.055105
300,9,31.262755,0.056118
1000,1,31.266621,0.035214
1000,2,31.264618,0.037229
1000,3,31.264927,0.036909
1000,4,31.265190,0.036648
1000,5,31.265673,0.036127
1000,6,31.264251,0.037558
1000,7,31.265742,0.036070
1000,8,31.264941,0.036864
1000,9,31.264484,0.037323
3000,1,31.264909,0.026403
3000,2,31.264958,0.026301
3000,3,31.262002,0.029279
3000,4,31.265586,0.025681
3000,5,31.266035,0.025327
3000,6,31.263512,0.027819
3000,7,31.265070,0.026232
3000,8,31.264650,0.026569
3000,9,31.266462,0.024787
10000,1,31.259656,0.015631
10000,2,31.260374,0.014944
10000,3,31.260013,0.015772
10000,4,31.259677,0.016137
10000,5,31.261389,0.013968
10000,6,31.261027,0.014624
10000,7,31.260921,0.014772
10000,8,31.259248,0.016508
10000,9,31.261537,0.014180
30000,1,31.260182,0.012560
30000,2,31.260018,0.012807
30000,3,31.261764,0.012489
30000,4,31.261993,0.012341
30000,5,31.262429,0.010940
30000,6,31.261638,0.011644
30000,7,31.260246,0.013206
30000,8,31.262254,0.011282
30000,9,31.259965,0.014202
100000,1,31.258646,0.013819
100000,2,31.264529,0.012284
100000,3,31.265755,0.010529
100000,4,31.265139,0.012756
100000,5,31.264938,0.011610
100000,6,31.259453,0.013088
100000,7,31.262380,0.012181
100000,8,31.264616,0.009871
100000,9,31.264088,0.011735
300000,1,31.078975,0.018122
300000,2,31.078429,0.013701
300000,3,31.076533,0.015403
300000,4,31.426481,0.006213
300000,5,31.082832,0.016201
300000,6,31.235650,0.006933
300000,7,31.074855,0.008232
300000,8,31.717621,0.007322
300000,9,31.581350,0.005181
1000000,1,31.704376,0.009129
1000000,2,30.216435,0.008864
1000000,3,29.518279,0.045730
1000000,4,32.088799,0.006633
1000000,5,30.812173,0.006601
1000000,6,32.333337,0.005928
1000000,7,32.159093,0.006627
1000000,8,29.689713,0.006151
1000000,9,32.832159,0.005854
3000000,1,50.107374,0.013263
3000000,2,39.877375,0.010017
3000000,3,50.189892,0.010968
3000000,4,23.737417,0.011548
3000000,5,14.613624,0.021633
3000000,6,17.222455,0.004725
3000000,7,14.646524,0.037835
3000000,8,30.684007,0.005667
3000000,9,40.390601,0.004581
